[[ 55.916139    82.3913295   19.3131       5.26261816  80.7674789 ]
 [  6.2804721   37.036       77.874        7.59106111  20.8254551 ]
 [ 41.76892     42.87431      2.39429375  10.2170544   76.222832  ]
 [ 18.46177     73.6353      92.83945     11.732252    47.47123   ]
 [  8.7449      56.27887776  32.453       38.6143      42.4978    ]
 [ 86.70858     60.963911    36.554801    53.617       47.6307    ]
 [ 20.2372       6.079758    87.619507    67.4588034   94.9037093 ]
 [ 39.42659262  98.24845375  35.9548639   99.127957     2.53641203]
 [ 93.84082     91.908       69.324003    77.5158      11.7613    ]
 [ 42.4288547   11.90005     21.47336     76.23678115  55.1048502 ]
 [ 92.84914591  50.628927    84.15276     34.9621094   71.392     ]
 [ 96.4294      72.8989542   29.0364675   44.025       17.19892   ]
 [ 98.85722479  31.1959      70.966541    78.45537632  25.5571711 ]
 [ 17.56525382  77.7109      66.74445901  26.649       30.938382  ]
 [ 99.9777071   13.769       59.091392    39.66460044  76.52015   ]
 [ 75.1948746   57.3323       8.323702    93.34175      9.5827    ]
 [ 83.131       99.659532    25.934488    64.84743      9.37765926]
 [ 23.4017894   54.761       65.861971    86.822051    39.18074   ]
 [ 57.07625     39.6068426   41.854       87.04838647  46.101067  ]
 [ 58.5953       0.292689    50.504       66.8808      39.313007  ]
 [ 42.063637    32.0276      45.16737     63.2437303   77.20174672]
 [ 60.55582     75.33983706  28.436       79.7265      98.717854  ]
 [ 88.5478      77.35379012  14.3444442   93.044586    21.438653  ]
 [ 55.033        4.5998789   33.25785825  10.52381     36.755937  ]
 [ 49.293       11.8294      73.66003927  94.766068    87.09630103]
 [ 57.312829     2.52647799   1.212509    84.984494    66.41016   ]
 [ 15.125        9.183663    73.175276     7.60654283  73.3989529 ]
 [ 67.23676017  83.5948      22.5527011   30.91466     28.20658669]
 [ 82.416253    64.718       38.009287    19.83082685  27.4125148 ]
 [ 47.133        3.794415    60.446678    87.93493     91.44166225]
 [ 60.037       50.42059     15.8575      82.4991      42.052     ]
 [ 34.839       48.3294669   21.78714     36.5018      39.711447  ]
 [  3.0444293   47.588       84.3164279   82.35139074  87.9293    ]
 [ 68.2958       4.93737     56.00525313  26.27923     87.2729432 ]
 [  5.809991     7.177839     1.9972      40.771        0.31778951]
 [  8.30297     70.324        3.6757565   52.0255      10.9996451 ]
 [ 14.089       27.62445     38.45427     27.263939    96.1990014 ]
 [ 84.047536    35.237       31.1552194    5.3780748   82.921417  ]
 [ 76.00180636  35.842852    43.84283173   8.5581      76.0904919 ]
 [  4.1973872    3.5923301   10.8675357   85.677       48.70924   ]
 [ 45.95269808  15.2777035   50.2549      71.9685154   17.21816   ]
 [ 85.23861752   3.29172299  93.3596329   64.2227636   83.75912388]
 [ 52.72439573  22.2165      75.41819629  11.574       50.33691429]
 [  3.364762    94.6959      78.8423      91.0220165   72.3461732 ]
 [  9.386863    67.875705    11.868       92.71918674  28.349     ]
 [ 79.4370691   86.3785155   58.1266055    1.91022343  77.71063123]
 [ 84.05223735  89.453       98.563216    87.1176      55.15597   ]
 [  5.7916477    3.78079725  19.606       72.88821825  80.3988    ]
 [ 63.7994      37.5438      24.914725    17.39403     30.4683    ]
 [ 16.28505     53.77938     98.223376    70.552654    60.6221    ]
 [ 53.17021     59.47988946  85.342009    38.32679058  81.219725  ]
 [ 16.79595     23.18594863  49.6944      13.2181517   65.1843574 ]
 [ 43.9356      55.85470638  93.050903    21.7803761   27.317     ]
 [ 16.892171    89.8321649   92.51647     58.7754      18.165534  ]
 [ 15.75608     63.22556     10.118373    15.63866918  11.41595732]
 [ 61.2897      12.1834      39.556102    80.2015       7.61526562]
 [ 43.636828    60.53013973  64.75373     59.329784    29.23771171]
 [ 77.8259      76.07697     34.6484      25.2232578   89.985     ]
 [ 14.97377061  36.5796      88.7580893    5.043435    64.965     ]
 [ 57.948       20.7534       0.41219127  35.86890256  91.98219782]
 [ 36.809875    24.1132      80.3311      39.6768      53.162     ]
 [ 25.4524001   73.639766    13.4902      45.356599    28.8197055 ]
 [ 95.7354      57.063251    98.1252377   80.580233     3.07149   ]
 [ 19.181       26.54745959  93.16        25.8979836   49.125805  ]
 [ 57.436       99.213777    12.41754     93.6744      76.9209    ]
 [ 40.652       96.9584777   70.2013292    9.14496      1.8264    ]
 [  3.14739504  59.69057451  47.8256487   38.9339508   36.54434   ]
 [ 97.0451761   45.3465844   16.99492      7.80707297  59.7241197 ]
 [ 27.78148277  45.4481      53.136409     8.9961814   52.96847   ]
 [ 78.38194     68.0908      16.2007      74.6223555   42.086     ]
 [ 19.73200345  27.33215882  18.1782      93.612027    26.99775   ]
 [  7.41582236   0.356986     2.859479    26.8856      62.753974  ]
 [ 98.3969051   54.464499    86.79834748  77.40305195   1.54569707]
 [ 55.60867     79.9854      27.414348    41.984014    41.84378844]
 [ 76.994584    35.32559     60.955917    75.0008088   22.19086958]
