# Data!
55.916 82.391 19.313  5.263 80.767
 6.280 37.036 77.874  7.591 20.825
41.769 42.874  2.394 10.217 76.223
18.462 73.635 92.839 11.732 47.471
 8.745 56.279 32.453 38.614 42.498
86.709 60.964 36.555 53.617 47.631
20.237  6.080 87.620 67.459 94.904
39.427 98.248 35.955 99.128  2.536
93.841 91.908 69.324 77.516 11.761
42.429 11.900 21.473 76.237 55.105
92.849 50.629 84.153 34.962 71.392
96.429 72.899 29.036 44.025 17.199
98.857 31.196 70.967 78.455 25.557
17.565 77.711 66.744 26.649 30.938
99.978 13.769 59.091 39.665 76.520
75.195 57.332  8.324 93.342  9.583
83.131 99.660 25.934 64.847  9.378
23.402 54.761 65.862 86.822 39.181
57.076 39.607 41.854 87.048 46.101
58.595  0.293 50.504 66.881 39.313
42.064 32.028 45.167 63.244 77.202
60.556 75.340 28.436 79.727 98.718
88.548 77.354 14.344 93.045 21.439
55.033  4.600 33.258 10.524 36.756
49.293 11.829 73.660 94.766 87.096
57.313  2.526  1.213 84.984 66.410
15.125  9.184 73.175  7.607 73.399
67.237 83.595 22.553 30.915 28.207
82.416 64.718 38.009 19.831 27.413
47.133  3.794 60.447 87.935 91.442
60.037 50.421 15.857 82.499 42.052
34.839 48.329 21.787 36.502 39.711
 3.044 47.588 84.316 82.351 87.929
68.296  4.937 56.005 26.279 87.273
 5.810  7.178  1.997 40.771  0.318
 8.303 70.324  3.676 52.026 11.000
14.089 27.624 38.454 27.264 96.199
84.048 35.237 31.155  5.378 82.921
76.002 35.843 43.843  8.558 76.090
 4.197  3.592 10.868 85.677 48.709
45.953 15.278 50.255 71.969 17.218
85.239  3.292 93.360 64.223 83.759
52.724 22.216 75.418 11.574 50.337
 3.365 94.696 78.842 91.022 72.346
 9.387 67.876 11.868 92.719 28.349
79.437 86.379 58.127  1.910 77.711
84.052 89.453 98.563 87.118 55.156
 5.792  3.781 19.606 72.888 80.399
63.799 37.544 24.915 17.394 30.468
16.285 53.779 98.223 70.553 60.622
53.170 59.480 85.342 38.327 81.220
16.796 23.186 49.694 13.218 65.184
43.936 55.855 93.051 21.780 27.317
16.892 89.832 92.516 58.775 18.166
15.756 63.226 10.118 15.639 11.416
61.290 12.183 39.556 80.201  7.615
43.637 60.530 64.754 59.330 29.238
77.826 76.077 34.648 25.223 89.985
14.974 36.580 88.758  5.043 64.965
57.948 20.753  0.412 35.869 91.982
36.810 24.113 80.331 39.677 53.162
25.452 73.640 13.490 45.357 28.820
95.735 57.063 98.125 80.580  3.071
19.181 26.547 93.160 25.898 49.126
57.436 99.214 12.418 93.674 76.921
40.652 96.958 70.201  9.145  1.826
 3.147 59.691 47.826 38.934 36.544
97.045 45.347 16.995  7.807 59.724
27.781 45.448 53.136  8.996 52.968
78.382 68.091 16.201 74.622 42.086
19.732 27.332 18.178 93.612 26.998
 7.416  0.357  2.859 26.886 62.754
98.397 54.464 86.798 77.403  1.546
55.609 79.985 27.414 41.984 41.844
76.995 35.326 60.956 75.001 22.191
56.359 99.689 21.458 86.309 26.062
25.080 81.292 68.697 80.193 26.976
71.414 94.528 34.145 97.637 68.443
70.672 38.806  1.846 70.620 97.799
93.432 59.174 82.800 83.801 63.223
72.624 18.536 33.163 21.060 68.430
40.873 74.233 44.482 26.271 52.113
58.102 59.613 48.687 99.811 74.215
24.517 75.198 72.480 73.337 22.209
20.656 16.062 51.696 56.753 34.276
23.172 24.610 97.955  4.433 90.485
56.024 60.756 87.628 48.171 75.690
52.593 72.462 46.507 46.162 84.232
24.576 76.951 49.532 19.423 20.677
 0.443  8.725 88.646 81.893 84.270
35.740 63.508  5.071 29.470 90.126
17.297 60.514 59.080 12.272 25.813
28.472 29.635 63.863 55.473 62.370
52.210 59.551 41.953 14.808 45.752
 3.692 81.029 35.717 96.646 41.508
34.424 20.014 55.195 93.311 81.580
62.515 25.843 31.659 20.398 20.937
79.745  3.028  1.777 91.659 84.556
52.754 58.046 46.904 54.667 54.920
51.966 85.729 51.172 76.701 38.396
